1. Huntsville, AL
2. Irondale, AL
3. Mobile, AL
4. Montgomery, AL
1. Anchorage, AK
1. Chandler, AZ
2. Phoenix, AZ
3. Tucson, AZ
1. Little Rock, AR
1. Burlingame, CA
2. Elk Grove, CA
3. Livermore, CA
4. Oakland, CA
5. Palo Alto, CA
6. Sacramento, CA
7. San Francisco, CA
8. San Jose, CA
9. San Rafael, CA
1. Carlsbad, CA
2. Escondido, CA
3. Mission Viejo, CA
4. Newport Beach, CA
5. Rancho Mirage, CA
6. Riverside, CA
7. San Diego, CA
8. Santa Ana, CA
1. Bakersfield, CA
2. Fresno, CA
3. Long Beach, CA
4. Los Angeles, CA
5. Norwalk, CA
6. Oxnard, CA
7. Pasadena, CA
8. Santa Barbara, CA
9. Santa Monica, CA
1. Boulder, CO
2. Colorado Springs, CO
3. Fort Collins, CO
4. Glenwood Springs, CO
5. Lakewood, CO
6. Littleton, CO
1. Danbury, CT
2. East Hartford, CT
3. Fairfield, CT
4. Greenwich, CT
5. New London, CT
6. Wallingford, CT
7. Watertown, CT
1. Wilmington, DE
1. Honolulu, HI
2. Kahului, HI
1. Boise, ID
2. Idaho Falls, ID
1. Chicago, IL
2. Glenview, IL
3. Highland Park, IL
4. Naperville, IL
5. Schaumburg, IL
6. Tinley Park, IL
7. Westmont, IL
1. Loves Park, IL
2. Normal, IL
3. Peoria, IL
4. Springfield, IL
1. Bloomington, IN
2. Evansville, IN
3. Fort Wayne, IN
4. Indianapolis, IN
5. Lafayette, IN
6. Merrillville, IN
7. Mishawaka, IN
1. Davenport, IA
2. Iowa City, IA
3. Johnston, IA
1. Bangor, ME
2. Falmouth, ME
3. Waterville, ME
1. Boylston, MA
2. Brookline, MA
3. Burlington, MA
4. Fall River, MA
5. Hyannis, MA
6. Natick, MA
7. Norwell, MA
8. Peabody, MA
9. Pittsfield, MA
1. Ann Arbor, MI
2. Bay City, MI
3. Birmingham, MI
4. Farmington Hills, MI
5. Grand Rapids, MI
6. Kalamazoo, MI
7. Lansing, MI
8. Muskegon, MI
9. Petoskey, MI
1. Maplewood, MN
2. Minneapolis, MN
3. Rochester, MN
1. Bozeman, MT
2. Missoula, MT
1. Omaha, NE
1. Henderson, NV
2. Las Vegas, NV
3. Reno, NV
1. Nashua, NH
2. Stratham, NH
1. Bernardsville, NJ
2. Cherry Hill, NJ
3. Flemington, NJ
4. Mendham, NJ
5. Newton, NJ
6. Pleasantville, NJ
7. Princeton, NJ
8. Turnersville, NJ
9. West Long Branch, NJ
1. Edison, NJ
2. Englewood, NJ
3. Fair Lawn, NJ
4. Maplewood, NJ
5. Parsippany, NJ
6. Secaucus, NJ
7. Upper Saddle River, NJ
1. Albuquerque, NM
1. Binghamton, NY
2. Bowmansville, NY
3. Cicero, NY
4. Ithaca, NY
5. Latham, NY
6. Mohegan Lake, NY
7. Nyack, NY
8. Oneonta, NY
9. Rochester, NY
1. Amityville, NY
2. Brooklyn, NY
3. Eastchester, NY
4. Great Neck, NY
5. Huntington Station, NY
6. Lynbrook, NY
7. New York, NY
8. Southampton, NY
9. St. James, NY
1. Fargo, ND
1. Bedford, OH
2. Cincinnati, OH
3. Cincinnati, OH
4. Columbus, OH
5. Cuyahoga Falls, OH
6. Dayton, OH
7. Dublin, OH
8. Middleburg Heights, OH
9. Sylvania, OH
1. Beaverton, OR
2. Bend, OR
3. Portland, OR
1. Allentown, PA
2. Erie, PA
3. Hollidaysburg, PA
4. Lancaster, PA
5. Larksville, PA
6. Leesport, PA
7. Mechanicsburg, PA
8. Monroeville, PA
9. Sewickley, PA
1. Conshohocken, PA
2. Edgemont, PA
3. Willow Grove, PA
4. Wynnewood, PA
1. Warwick, RI
1. Sioux Falls, SD
1. Layton, UT
2. Orem, UT
3. Salt Lake City, UT
1. Rutland, VT
2. South Burlington, VT
1. Bellevue, WA
2. Bellingham, WA
3. Kennewick, WA
4. Seattle, WA
5. Spokane, WA
6. Tacoma, WA
7. Yakima, WA
8. Lynnwood, WA
9. Tukwila, WA
1. Appleton, WI
2. Brown Deer, WI
3. Eau Claire, WI
4. LaCrosse, WI
5. Madison, WI
6. Milwaukee, WI
7. Wausau, WI
1. Casper, WY
